"Status Effective","Account Holder","Quantity of Credits","Retirement Reason","Retirement Reason Details","Credit Serial Numbers","Vintage","Protocol Version","Date Issued","ARB Eligible","Sustainable Development Goal(s)","Project ID","Project Name","Project Site Country","Project Site Location","Project Site State","Project Type",
"02/10/2021","Maple Leaf Foods","11247","Environmental Benefit","Carbon Neutral","ACR-CA-501-2017-1014-1 to 11247","2017","Version 1.0","6/4/2020 10:34:14 PM","No","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","ACR501","HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2017","CA","Brantford","ONTARIO","Industrial Process Emissions",
"02/10/2021","Maple Leaf Foods","14497","Environmental Benefit","Carbon Neutral","ACR-US-455-2018-996-1 to 14497","2018","Version 1.0","4/23/2020 11:27:51 PM","No","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","ACR455","Foam Blowing Agent Project 003D","US","Winchester","VIRGINIA","Industrial Process Emissions",
"02/10/2021","Maple Leaf Foods","8480","Environmental Benefit","Carbon Neutral","ACR-US-454-2017-995-33504 to 41983","2017","Version 1.0","4/23/2020 11:27:32 PM","No","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","ACR454","Foam Blowing Agent Project 003C","US","Winchester","VIRGINIA","Industrial Process Emissions",
"02/10/2021","Maple Leaf Foods","776","Environmental Benefit","Carbon Neutral (Greenleaf Foods SPC)","ACR-US-376-2018-864-41005 to 41780","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"02/10/2021","Shell International Trading Limited","9152","Environmental Benefit","Retired by Shell","ACR-US-114-2013-385-348531 to 357682","2013","Version 1.0","5/1/2015 11:46:57 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"02/09/2021","Pachama Inc.","7","On Behalf of Third Party","Bundle 1674","ACR-US-376-2018-864-1246 to 1252","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"02/09/2021","Pachama Inc.","7","On Behalf of Third Party","Bundle 1674","ACR-US-386-2018-813-24497 to 24503","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"02/02/2021","Natural Capital Partners Americas, LLC","2310","On Behalf of Third Party","Customer ID 00077074","ACR-US-114-2016-736-113648 to 115957","2016","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"02/02/2021","Natural Capital Partners Americas, LLC","500","On Behalf of Third Party","Customer ID 00077398","ACR-US-222-2014-750-6797 to 7296","2014","Version 1.0","8/31/2018 5:33:02 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR222","Prairie Pothole Avoided Conversion of Grasslands and Shrublands","US","Missouri Coteau","NORTH DAKOTA","Agricultural Land Management",
"02/02/2021","Natural Capital Partners Americas, LLC","400","On Behalf of Third Party","Customer ID 00077398","ACR-US-114-2016-736-113248 to 113647","2016","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"02/02/2021","Natural Capital Partners Americas, LLC","450","On Behalf of Third Party","Customer ID 00077689","ACR-US-126-2012-312-152166 to 152615","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"02/02/2021","Natural Capital Partners Americas, LLC","326","On Behalf of Third Party","Customer ID 00076308","ACR-US-114-2017-734-5001 to 5326","2017","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"02/02/2021","Natural Capital Partners Americas, LLC","912","On Behalf of Third Party","Customer ID 00077428","ACR-US-126-2012-312-151254 to 152165","2012","Version 1.0","1/24/2013 5:38:38 AM","No","Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR126","Seneca Meadows LFG","US","Waterloo","NEW YORK","Landfill Gas Capture & Combustion",
"02/02/2021","Natural Capital Partners Americas, LLC","90","On Behalf of Third Party","Customer ID 00077390","ACR-US-114-2016-736-113158 to 113247","2016","Version 1.0","6/22/2018 11:22:39 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","US","Mississippi Alluvial Valley","ARKANSAS","Forest Carbon",
"02/02/2021","Natural Capital Partners Americas, LLC","309","On Behalf of Third Party","Customer ID 00077109","ACR-US-188-2013-367-5806 to 6114","2013","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","286","On Behalf of Third Party","Customer ID 00077109","ACR-US-188-2012-368-5364 to 5649","2012","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","180","On Behalf of Third Party","Customer ID 00077109","ACR-US-188-2011-369-3656 to 3835","2011","Version 1.0","12/30/2014 7:38:37 PM","No","Good Health and Well-Being;Industry, Innovation and Infrastructure;Sustainable Cities and Communities;Climate Action","ACR188","Truck Stop Electrification, BEF","US","Various","TENNESSEE","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","400","On Behalf of Third Party","Customer ID 00077109","ACR-US-157-2010-432-200 to 599","2010","Version 1.0","6/2/2016 2:42:06 PM","No","","ACR157","Truck Stop Electrification, Texas","US","Texas","TEXAS","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","223","On Behalf of Third Party","Customer ID 00077109","ACR-US-156-2010-436-62 to 284","2010","Version 1.0","6/2/2016 2:42:17 PM","No","","ACR156","Truck Stop Electrification, Tennessee","US","Tennessee","TENNESSEE","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","130","On Behalf of Third Party","Customer ID 00077109","ACR-US-153-2010-448-1 to 130","2010","Version 1.0","6/2/2016 2:42:52 PM","No","","ACR153","Truck Stop Electrification, Oregon","US","Oregon","OREGON","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","172","On Behalf of Third Party","Customer ID 00077109","ACR-US-148-2010-468-1 to 172","2010","Version 1.0","6/2/2016 2:43:47 PM","No","","ACR148","Truck Stop Electrification, New Mexico","US","New Mexico","NEW MEXICO","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","52","On Behalf of Third Party","Customer ID 00077109","ACR-US-146-2010-474-1 to 52","2010","Version 1.0","6/2/2016 2:44:07 PM","No","","ACR146","Truck Stop Electrification, Nebraska","US","Nebraska","NEBRASKA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","98","On Behalf of Third Party","Customer ID 00077109","ACR-US-145-2010-478-1 to 98","2010","Version 1.0","6/2/2016 2:44:18 PM","No","","ACR145","Truck Stop Electrification, Missouri","US","Missouri","MISSOURI","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","72","On Behalf of Third Party","Customer ID 00077109","ACR-US-144-2010-482-1 to 72","2010","Version 1.0","6/2/2016 2:44:33 PM","No","","ACR144","Truck Stop Electrification, Mississippi","US","Mississippi","MISSISSIPPI","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","41","On Behalf of Third Party","Customer ID 00077109","ACR-US-143-2010-486-1 to 41","2010","Version 1.0","6/2/2016 2:44:44 PM","No","","ACR143","Truck Stop Electrification, Minnesota","US","Minnesota","MINNESOTA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077109","ACR-US-141-2010-494-44 to 243","2010","Version 1.0","6/2/2016 2:45:03 PM","No","","ACR141","Truck Stop Electrification, Maryland","US","Maryland","MARYLAND","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","237","On Behalf of Third Party","Customer ID 00077109","ACR-US-140-2010-498-1 to 237","2010","Version 1.0","6/2/2016 2:45:14 PM","No","","ACR140","Truck Stop Electrification, Louisianna","US","Louisiana","LOUISIANA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","500","On Behalf of Third Party","Customer ID 00077109","ACR-US-156-2009-437-2229 to 2728","2009","Version 1.0","6/2/2016 2:42:17 PM","No","","ACR156","Truck Stop Electrification, Tennessee","US","Tennessee","TENNESSEE","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","600","On Behalf of Third Party","Customer ID 00077109","ACR-US-155-2009-441-602 to 1201","2009","Version 1.0","6/2/2016 2:42:29 PM","No","","ACR155","Truck Stop Electrification, South Carolina","US","South Carolina","SOUTH CAROLINA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077109","ACR-US-154-2009-445-434 to 633","2009","Version 1.0","6/2/2016 2:42:41 PM","No","","ACR154","Truck Stop Electrification, Pennsylvania","US","Pennsylvania","PENNSYLVANIA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","176","On Behalf of Third Party","Customer ID 00077109","ACR-US-153-2009-449-701 to 876","2009","Version 1.0","6/2/2016 2:42:52 PM","No","","ACR153","Truck Stop Electrification, Oregon","US","Oregon","OREGON","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","600","On Behalf of Third Party","Customer ID 00077109","ACR-US-152-2009-453-201 to 800","2009","Version 1.0","6/2/2016 2:43:02 PM","No","","ACR152","Truck Stop Electrification, Oklahoma","US","Oklahoma","OKLAHOMA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","400","On Behalf of Third Party","Customer ID 00077109","ACR-US-151-2009-457-5901 to 6300","2009","Version 1.0","6/2/2016 2:43:14 PM","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077109","ACR-US-151-2009-457-6869 to 7068","2009","Version 1.0","6/2/2016 2:43:14 PM","No","","ACR151","Truck Stop Electrification, Ohio","US","Ohio","OHIO","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","300","On Behalf of Third Party","Customer ID 00077109","ACR-US-148-2009-469-1201 to 1500","2009","Version 1.0","6/2/2016 2:43:47 PM","No","","ACR148","Truck Stop Electrification, New Mexico","US","New Mexico","NEW MEXICO","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","115","On Behalf of Third Party","Customer ID 00077109","ACR-US-142-2009-491-401 to 515","2009","Version 1.0","6/2/2016 2:44:53 PM","No","","ACR142","Truck Stop Electrification, Michigan","US","Michigan","MICHIGAN","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077109","ACR-US-137-2009-511-5135 to 5334","2009","Version 1.0","6/2/2016 2:45:42 PM","No","","ACR137","Truck Stop Electrification, Illinois","US","Illinois","ILLINOIS","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","200","On Behalf of Third Party","Customer ID 00077109","ACR-US-135-2009-518-1680 to 1879","2009","Version 1.0","6/2/2016 2:46:02 PM","No","","ACR135","Truck Stop Electrification, Florida","US","Florida","FLORIDA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","335","On Behalf of Third Party","Customer ID 00077109","ACR-US-155-2008-442-1301 to 1635","2008","Version 1.0","6/2/2016 2:42:29 PM","No","","ACR155","Truck Stop Electrification, South Carolina","US","South Carolina","SOUTH CAROLINA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","400","On Behalf of Third Party","Customer ID 00077109","ACR-US-154-2008-446-4746 to 5145","2008","Version 1.0","6/2/2016 2:42:41 PM","No","","ACR154","Truck Stop Electrification, Pennsylvania","US","Pennsylvania","PENNSYLVANIA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","124","On Behalf of Third Party","Customer ID 00077109","ACR-US-153-2008-450-2189 to 2312","2008","Version 1.0","6/2/2016 2:42:52 PM","No","","ACR153","Truck Stop Electrification, Oregon","US","Oregon","OREGON","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","400","On Behalf of Third Party","Customer ID 00077109","ACR-US-152-2008-454-2401 to 2800","2008","Version 1.0","6/2/2016 2:43:02 PM","No","","ACR152","Truck Stop Electrification, Oklahoma","US","Oklahoma","OKLAHOMA","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","400","On Behalf of Third Party","Customer ID 00077109","ACR-US-147-2008-472-519 to 918","2008","Version 1.0","6/2/2016 2:43:56 PM","No","","ACR147","Truck Stop Electrification, New Jersey","US","New Jersey","NEW JERSEY","Transport / Fleet Efficiency",
"02/02/2021","Natural Capital Partners Americas, LLC","50","On Behalf of Third Party","Customer ID 00077109","ACR-US-143-2008-488-776 to 825","2008","Version 1.0","6/2/2016 2:44:44 PM","No","","ACR143","Truck Stop Electrification, Minnesota","US","Minnesota","MINNESOTA","Transport / Fleet Efficiency",
"02/01/2021","Pachama Inc.","8","On Behalf of Third Party","Bundle 1624","ACR-US-376-2018-864-1238 to 1245","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"02/01/2021","Pachama Inc.","8","On Behalf of Third Party","Bundle 1624","ACR-US-386-2018-813-24489 to 24496","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"02/01/2021","Pachama Inc.","10","On Behalf of Third Party","Retired on behalf of Blank Street, 1612","ACR-US-386-2018-813-1651 to 1660","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"01/29/2021","Blue Source","5577","On Behalf of Third Party","Retired on behalf of Nestle Waters North America's 2020 emissions","ACR-US-376-2018-864-239159 to 244735","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"01/28/2021","Blue Source","1000","On Behalf of Third Party","Retired on behalf of EcoCart","ACR-US-121-2004-298-143851959 to 143852958","2004","Version 1.0","1/30/2007","No","","ACR121","Pike's Peak Geo-Seq","US","Pecos County","TEXAS","Carbon Capture & Storage (CCS)",
"01/27/2021","Carbonfund.org","1695","Retail Program Requirements","Retired on behalf of Carbonfund.org Foundation's donor","ACR-US-386-2018-813-25667 to 27361","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"01/27/2021","Blue Source","2061","On Behalf of Third Party","Retired on behalf of Cool Effect","ACR-US-376-2018-864-90595 to 92655","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"01/27/2021","Blue Source","2665","On Behalf of Third Party","Retired on behalf of Cool Effect","ACR-US-459-2019-973-33768 to 36432","2019","Version 1.0","3/18/2020 2:27:16 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR459","Bluesource - Klawock Heenya Improved Forest Management Project","US","Klawock","ALASKA","Forest Carbon",
"01/27/2021","Blue Source","4245","On Behalf of Third Party","Retired on behalf of Cool Effect","ACR-US-375-2019-877-36508 to 40752","2019","Version 1.0","8/22/2019 8:25:27 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR375","Blue Source - Hawk Mountain Improved Forest Management Project","US","Drehersville, Pennsylvania","PENNSYLVANIA","Forest Carbon",
"01/25/2021","Pachama Inc.","7","On Behalf of Third Party","Bundle 1593","ACR-US-386-2018-813-24482 to 24488","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"01/25/2021","Pachama Inc.","6","On Behalf of Third Party","Bundle 1593","ACR-US-376-2018-864-1232 to 1237","2018","Version 1.0","7/3/2019 9:30:26 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR376","Blue Source - Massachusetts Tri-City Improved Forest Management Project","US","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","Forest Carbon",
"01/23/2021","3Degrees Group, Inc.","10179","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2018-817-351993 to 362171","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"01/23/2021","3Degrees Group, Inc.","33065","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2018-1153-27029 to 60093","2018","Version 1.0","11/23/2020 11:09:01 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"01/23/2021","3Degrees Group, Inc.","27028","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR-US-212-2018-1153-1 to 27028","2018","Version 1.0","11/23/2020 11:09:01 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"01/21/2021","Malhas Menegotti Industria Textil Ltda.","5000","On Behalf of Third Party","Offsetting of B3s 2019 emissions","ACR-BR-165-2013-382-226892 to 231891","2013","Version 19.0","3/6/2015 6:04:49 AM","No","Affordable and Clean Energy;Industry, Innovation and Infrastructure;Climate Action","ACR165","Malhas Menegotti Industria Textil Fuel Switch","BR","Jaraguá do Sul, Santa Catarina, Brazil","SC","Fuel Switching",
"01/21/2021","The Nature Conservancy","1000","On Behalf of Third Party","Retired on behalf of Fred Alger Mgmt, LLC","ACR-US-424-2018-1035-12365 to 13364","2018","Version 1.0","7/1/2020 10:17:22 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR424","Albany Water Board - Improved Forest Management Project","US","Albany","NEW YORK","Forest Carbon",
"01/20/2021","Just Energy (U.S.) Corp.","10000","On Behalf of Third Party","Retired on behalf of Tudor Investment Corp, for Terrapass voluntary RY2020","ACR-US-117-2006-126-207385997 to 207395996","2006","Version 1.0","12/3/2008","No","","ACR117","Merit Energy Geo-Seq","US","LaBarge","WYOMING","Carbon Capture & Storage (CCS)",
"01/20/2021","SouthStar Energy Services LLC","268","Retail Program Requirements","Q4 2020 Greener Life","ACR-US-398-2019-820-27304 to 27571","2019","Version 1.0","4/17/2019 3:10:29 AM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR398","Bluesource - Doe Mountain Improved Forest Management Project","US","Johnson County, Tennessee","TENNESSEE","Forest Carbon",
"01/19/2021","Pachama Inc.","59","On Behalf of Third Party","Vimeo 1404","ACR-US-386-2018-813-25561 to 25619","2018","Version 1.0","4/3/2019 9:54:19 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR386","Bluesource - Hudson Farm Improved Forest Management Project","US","Andover, New Jersey","NEW JERSEY","Forest Carbon",
"01/18/2021","Bonneville Environmental Foundation","20","On Behalf of Third Party","Williot Business Travel: The Good Traveler","ACR-US-138-2008-508-1 to 20","2008","Version 1.0","6/2/2016 2:45:32 PM","No","","ACR138","Truck Stop Electrification, Indiana","US","Indiana","INDIANA","Transport / Fleet Efficiency",
"01/18/2021","Bonneville Environmental Foundation","40","On Behalf of Third Party","The Good Traveler April 2020 :RMI","ACR-US-158-2008-430-144 to 183","2008","Version 1.0","6/2/2016 2:33:47 PM","No","","ACR158","Truck Stop Electrification, Utah","US","Utah","UTAH","Transport / Fleet Efficiency",
"01/18/2021","Bonneville Environmental Foundation","34","On Behalf of Third Party","The Good Traveler March 2020 :RMI","ACR-US-158-2008-430-110 to 143","2008","Version 1.0","6/2/2016 2:33:47 PM","No","","ACR158","Truck Stop Electrification, Utah","US","Utah","UTAH","Transport / Fleet Efficiency",
"01/13/2021","3Degrees Group, Inc.","33065","On Behalf of Third Party","City of Palo Alto","ACR-US-212-2018-817-318928 to 351992","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"01/13/2021","3Degrees Group, Inc.","11889","On Behalf of Third Party","City of Palo Alto","ACR-US-212-2018-817-209112 to 221000","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
"01/13/2021","3Degrees Group, Inc.","7180","On Behalf of Third Party","City of Palo Alto","ACR-US-212-2018-817-77927 to 85106","2018","Version 1.0","4/10/2019 6:14:14 PM","No","Clean Water and Sanitation;Climate Action;Life on Land","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","US","70mile radius of Grand Rapids","MINNESOTA","Forest Carbon",
