"Vintage","Offset Credit Serial Numbers","Quantity of Offset Credits","Status Effective","Project ID","Project Name","Project Type","Protocol Version","Project Site Location","Project Site State","Project Site Country","Additional Certification(s)","CORSIA Eligible","Account Holder","Retirement Reason","Retirement Reason Details",
"2020","CAR-1-US-1237-37-925-CO-2020-6252-1 to 300","300","02/02/2021","CAR1237","Raven's Nest Nature Preserve","Avoided Grassland Conversion","Version 2.1","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2020","CAR-1-US-811-31-597-IL-2020-6044-1 to 3227","3227","08/05/2020","CAR811","Rentech Energy Midwest Corporation – Nitric Acid Plant 1","Nitric Acid N2O- Tertiary Catalyst","Version 2.0","Jo Daviess County, East Dubuque","ILLINOIS","US","","No","East Dubuque Nitrogen Fertilizers, LLC","On Behalf of Third Party","Anonymous",
"2020","CAR-1-US-768-30-530-MS-2020-6246-1 to 911","911","12/04/2020","CAR768","Terra Yazoo City  # 9, Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.2","Yazoo City, MS","MISSISSIPPI","US","","No","CF Industries Nitrogen, LLC","On Behalf of Third Party","",
"2020","CAR-1-US-768-30-530-MS-2020-6246-912 to 8411","7500","12/04/2020","CAR768","Terra Yazoo City  # 9, Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.2","Yazoo City, MS","MISSISSIPPI","US","","No","CF Industries Nitrogen, LLC","On Behalf of Third Party","",
"2020","CAR-1-US-593-5-207-ID-2020-6302-1 to 4193","4193","02/24/2021","CAR593","The B6 Dairy Farm BioFactory(R) Project","Livestock Gas Capture/Combustion","Version 4.0","Gooding, Idaho","IDAHO","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-888-4-666-TX-2019-6202-1 to 15793","15793","12/22/2020","CAR888","Angelina County Landfill","Landfill Gas Capture/Combustion","Version 3.0","Lufkin","TEXAS","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-888-4-666-TX-2019-5861-1 to 16285","16285","01/29/2020","CAR888","Angelina County Landfill","Landfill Gas Capture/Combustion","Version 3.0","Lufkin","TEXAS","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-575-25-152-CA-2019-6046-1 to 255","255","02/02/2021","CAR575","Arcata Sunnybrae Tract","Improved Forest Management","Version 3.1","Humboldt County","CALIFORNIA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-790-4-580-TN-2019-6084-1 to 83545","83545","09/14/2020","CAR790","Bi-County Landfill Gas Destruction Project","Landfill Gas Capture/Combustion","Version 3.0","Montgomery County; Woodlawn","TENNESSEE","US","","No","NativeEnergy, a Public Benefit Corporation","On Behalf of Third Party","Retired on behalf of third party",
"2019","CAR-1-US-497-26-485-NC-2019-6064-5001 to 5492","492","10/09/2020","CAR497","Blue Source - Alligator River Avoided Conversion","Avoided Conversion","Version 3.1","Hyde County","NORTH CAROLINA","US","","No","Mattamuskeet Ventures I,  LLC","On Behalf of Third Party","",
"2019","CAR-1-US-497-26-485-NC-2019-6064-5493 to 6492","1000","10/19/2020","CAR497","Blue Source - Alligator River Avoided Conversion","Avoided Conversion","Version 3.1","Hyde County","NORTH CAROLINA","US","","No","Mattamuskeet Ventures I,  LLC","On Behalf of Third Party","Retired on behalf of CarbonClick Customers",
"2019","CAR-1-US-497-26-485-NC-2019-6064-1 to 5000","5000","06/25/2020","CAR497","Blue Source - Alligator River Avoided Conversion","Avoided Conversion","Version 3.1","Hyde County","NORTH CAROLINA","US","","No","Mattamuskeet Ventures I,  LLC","On Behalf of Third Party","Retired on behalf of Interface, Inc. 2020 Carbon Neutral Floors Program",
"2019","CAR-1-US-497-26-485-NC-2019-6064-6493 to 7074","582","11/03/2020","CAR497","Blue Source - Alligator River Avoided Conversion","Avoided Conversion","Version 3.1","Hyde County","NORTH CAROLINA","US","","No","Mattamuskeet Ventures I,  LLC","On Behalf of Third Party","Retired on behalf of Cloverly, Inc.",
"2019","CAR-1-US-683-25-509-SC-2019-5927-4801 to 6240","1440","06/25/2020","CAR683","Blue Source - Francis Beidler Improved Forest Management Project","Improved Forest Management","Version 3.1","Berkeley, Dorchester and Orangeburg Counties","SOUTH CAROLINA","US","","No","National Audubon Society, Inc.","On Behalf of Third Party","Retired on behalf of Interface, Inc. 2020 Carbon Neutral Floors Program",
"2019","CAR-1-US-1247-37-234-MT-2019-5841-1 to 5388","5388","02/06/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","Retirement on behalf of client - FY18",
"2019","CAR-1-US-1247-37-234-MT-2019-6207-1 to 990","990","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1247-37-234-MT-2019-6207-2433 to 3432","1000","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1247-37-234-MT-2019-6207-3433 to 4432","1000","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1247-37-234-MT-2019-6207-991 to 2432","1442","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1247-37-234-MT-2019-6207-4433 to 6007","1575","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1247-37-234-MT-2019-6207-6008 to 6442","435","12/31/2020","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1247-37-234-MT-2019-6207-6443 to 6467","25","02/02/2021","CAR1247","Bluesource - Carroll Avoided Grassland Conversion Project","Avoided Grassland Conversion","Version 1.0","Valley County, MT","MONTANA","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-545-4-357-TX-2019-6102-1 to 90993","90993","11/02/2020","CAR545","City of Garland Landfill Carbon Project","Landfill Gas Capture/Combustion","Version 2.1","3175 Elm Grove, Rowlett, Texas","TEXAS","US","","No","Garland Power & Light","On Behalf of Third Party","",
"2019","CAR-1-US-887-4-664-GA-2019-6002-1 to 43122","43122","10/30/2020","CAR887","City of Thomasville MSW Landfill","Landfill Gas Capture/Combustion","Version 3.0","Thomas County, GA","GEORGIA","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-1335-31-983-KS-2019-6133-1 to 72627","72627","11/10/2020","CAR1335","Coffeyville NAP2","Nitric Acid N2O- Tertiary Catalyst","Version 2.2","Coffeyville, Kansas","KANSAS","US","","No","ClimeCo Corp MCK NAP2, LLC.","On Behalf of Third Party","",
"2019","CAR-1-MX-1285-42-938-PU-2019-6019-28 to 231","204","12/03/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of CoolEffect.inc for September 2019 from CAR 1285",
"2019","CAR-1-MX-1285-42-938-PU-2019-6019-1 to 27","27","10/14/2020","CAR1285","Conservación y Captura de Carbono Co2ltzingo","Forestry - MX","Version 1.5","Santiago Coltzingo","PUEBLA","MX","","No","EJIDO SANTIAGO COLTZINGO","Environmental Benefit","retirement of credits on behalf of CoolEffect.inc for May 2019 from car1285",
"2019","CAR-1-US-473-4-963-UT-2019-6075-1 to 65000","65000","06/26/2020","CAR473","Davis Landfill Gas Offset Project","Landfill Gas Capture/Combustion","Version 5.0","Layton, Utah","UTAH","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-473-4-963-UT-2019-6075-65001 to 88422","23422","07/20/2020","CAR473","Davis Landfill Gas Offset Project","Landfill Gas Capture/Combustion","Version 5.0","Layton, Utah","UTAH","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-639-30-449-TX-2019-5777-1 to 142505","142505","10/25/2019","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","LSB Industries, Inc.","On Behalf of Third Party","",
"2019","CAR-1-US-639-30-449-TX-2019-5869-1 to 402010","402010","03/17/2020","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","LSB Industries, Inc.","On Behalf of Third Party","confidential retirement",
"2019","CAR-1-US-639-30-449-TX-2019-6214-1 to 140095","140095","01/07/2021","CAR639","El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 2.1","Chambers County; near Baytown","TEXAS","US","","No","LSB Industries, Inc.","On Behalf of Third Party","anonymous retirement",
"2019","CAR-1-US-996-5-212-OR-2019-6086-1 to 10000","10000","06/26/2020","CAR996","Farm Power Misty Meadow Anaerobic Digester","Livestock Gas Capture/Combustion","Version 3.0","Tillamook County","OREGON","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-416-5-874-WA-2019-6062-1 to 11602","11602","07/20/2020","CAR416","Farm Power Rexville Regional Digester","Livestock Gas Capture/Combustion","Version 2.0","Mount Vernon","WASHINGTON","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-988-5-212-OR-2019-6085-1 to 9000","9000","06/26/2020","CAR988","Farm Power Tillamook Regional Digester","Livestock Gas Capture/Combustion","Version 3.0","Tillamook","OREGON","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-465-4-273-MS-2019-6215-1 to 21599","21599","12/22/2020","CAR465","GTR Solid Waste Landfill","Landfill Gas Capture/Combustion","Version 3.0","Oktibbeha/Clay county near Starkville MS","MISSISSIPPI","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-635-4-207-OH-2019-5940-1 to 61966","61966","01/28/2020","CAR635","Hancock County Landfill Gas Collection Project","Landfill Gas Capture/Combustion","Version 3.0","Hancock County","OHIO","US","","No","3Degrees Group, Inc","On Behalf of Third Party","",
"2019","CAR-1-US-635-4-207-OH-2019-6271-1 to 53908","53908","02/12/2021","CAR635","Hancock County Landfill Gas Collection Project","Landfill Gas Capture/Combustion","Version 5.0","Hancock County","OHIO","US","","No","3Degrees Group, Inc","On Behalf of Third Party","",
"2019","CAR-1-US-1238-37-925-CO-2019-5945-1142 to 3092","1951","10/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1238-37-925-CO-2019-6258-966 to 3171","2206","02/02/2021","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.1","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1238-37-925-CO-2019-5945-1 to 190","190","01/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Southern Plains Land Trust","On Behalf of Third Party","Credits retired on behalf of Land Trust Alliance to offset 190 metric tonnes of carbon associated with travel to the 2019 Rally",
"2019","CAR-1-US-1238-37-925-CO-2019-5945-191 to 1141","951","10/27/2020","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1238-37-925-CO-2019-6258-1 to 965","965","02/02/2021","CAR1238","Heartland Ranch Phase 1","Avoided Grassland Conversion","Version 2.1","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1299-37-925-CO-2019-6262-1 to 1228","1228","02/02/2021","CAR1299","Heartland Ranch Phase 2","Avoided Grassland Conversion","Version 2.1","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1299-37-925-CO-2019-5949-1 to 1211","1211","10/27/2020","CAR1299","Heartland Ranch Phase 2","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-829-4-207-VA-2019-5856-1 to 1950","1950","06/26/2020","CAR829","Hilltop Sand and Gravel Landfill GHG Project","Landfill Gas Capture/Combustion","Version 5.0","7950 Telegraph Road, Alexandria, Faifax County","VIRGINIA","US","","No","3Degrees Group, Inc","On Behalf of Third Party","Carbon Offset",
"2019","CAR-1-US-838-4-630-MO-2019-6161-1 to 70592","70592","12/23/2020","CAR838","IESI-Trinity Timber Ridge Landfill Carbon Project","Landfill Gas Capture/Combustion","Version 3.0","Washington County, MO","MISSOURI","US","","No","Timber Ridge Landfill Company","On Behalf of Third Party","On Behalf of Third Party",
"2019","CAR-1-US-1050-4-844-OK-2019-6193-1 to 31435","31435","12/10/2020","CAR1050","Lawton GCCS","Landfill Gas Capture/Combustion","Version 4.0","City of Lawton, Comanche County","OKLAHOMA","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","On behalf of third party",
"2019","CAR-1-US-1096-34-386-WA-2019-6090-1 to 9035","9035","07/21/2020","CAR1096","Lenz Composting","Organic Waste Composting","Version 1.1","5210 SR 532 Stanwood WA 98292 (Snohomish County)","WASHINGTON","US","","No","The Climate Trust","Compliance Requirements","Retired on behalf of Invenergy GHEC facility",
"2019","CAR-1-US-998-5-212-CA-2019-5884-1 to 2436","2436","12/04/2019","CAR998","Maas Energy Works Van Warmerdam Dairy Digester","Livestock Gas Capture/Combustion","Version 4.0","Galt, CA","CALIFORNIA","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-1261-37-944-CO-2019-6070-7501 to 9512","2012","06/12/2020","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Ducks Unlimited, Inc.","Environmental Benefit","On behalf of Christopher F. Arndt",
"2019","CAR-1-US-1261-37-944-CO-2019-6070-1 to 12","12","11/20/2020","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","NativeEnergy, a Public Benefit Corporation","On Behalf of Third Party","Retired by NativeEnergy on behalf of Cool Effect",
"2019","CAR-1-US-1261-37-944-CO-2019-6070-13 to 2012","2000","03/01/2021","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Cool Effect","Environmental Benefit","Retired for Cool Effect Inc., on behalf of Salesforce",
"2019","CAR-1-US-1261-37-944-CO-2019-6070-3013 to 3711","699","03/01/2021","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Cool Effect","Environmental Benefit","July 2020-Sept 2020 and Nov-2020-Dec-2020 platform sales",
"2019","CAR-1-US-1261-37-944-CO-2019-6070-2013 to 3012","1000","03/01/2021","CAR1261","May Ranch Avoided Grassland Conversion","Avoided Grassland Conversion","Version 2.0","Prowers County, CO; NE of Lamar, CO","COLORADO","US","","No","Cool Effect","Environmental Benefit","Retired for Cool Effect Inc., on behalf of Salesforce",
"2019","CAR-1-US-406-4-199-WI-2019-6015-1 to 47365","47365","09/15/2020","CAR406","Moccasin Mike Landfill Gas Project","Landfill Gas Capture/Combustion","Version 4.0","Superior","WISCONSIN","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-592-4-399-KY-2019-6000-1 to 4077","4077","09/30/2020","CAR592","Morehead Landfill","Landfill Gas Capture/Combustion","Version 4.0","Morehead","KENTUCKY","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-674-4-472-NY-2019-5962-1 to 117817","117817","06/05/2020","CAR674","Oneida Herkimer Landfill Ava, NY","Landfill Gas Capture/Combustion","Version 3.0","Ava, NY","NEW YORK","US","","No","Oneida Herkimer Solid Waste Authority","On Behalf of Third Party","anonymous",
"2019","CAR-1-US-674-4-472-NY-2019-6210-1 to 45869","45869","12/22/2020","CAR674","Oneida Herkimer Landfill Ava, NY","Landfill Gas Capture/Combustion","Version 3.0","Ava, NY","NEW YORK","US","","No","Oneida Herkimer Solid Waste Authority","On Behalf of Third Party","",
"2019","CAR-1-US-1237-37-925-CO-2019-6254-1 to 953","953","02/02/2021","CAR1237","Raven's Nest Nature Preserve","Avoided Grassland Conversion","Version 2.1","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-1237-37-925-CO-2019-5957-1 to 936","936","10/27/2020","CAR1237","Raven's Nest Nature Preserve","Avoided Grassland Conversion","Version 2.0","Bent County","COLORADO","US","","No","Natural Capital Partners","On Behalf of Third Party","",
"2019","CAR-1-US-811-31-597-IL-2019-6045-1 to 93981","93981","08/05/2020","CAR811","Rentech Energy Midwest Corporation – Nitric Acid Plant 1","Nitric Acid N2O- Tertiary Catalyst","Version 2.0","Jo Daviess County, East Dubuque","ILLINOIS","US","","No","East Dubuque Nitrogen Fertilizers, LLC","On Behalf of Third Party","Anonymous",
"2019","CAR-1-US-811-31-597-IL-2019-5759-1 to 11058","11058","09/24/2019","CAR811","Rentech Energy Midwest Corporation – Nitric Acid Plant 1","Nitric Acid N2O- Tertiary Catalyst","Version 2.0","Jo Daviess County, East Dubuque","ILLINOIS","US","","No","East Dubuque Nitrogen Fertilizers, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-1027-30-597-IL-2019-5871-1 to 109558","109558","03/18/2020","CAR1027","Rentech Nitrogen, LLC - Nitric Acid Plant 2","Nitric Acid N2O- Secondary Catalyst","Version 2.0","Joe Davies County, East Dubuque, Illinois","ILLINOIS","US","","No","East Dubuque Nitrogen Fertilizers, LLC","On Behalf of Third Party","Anonymous",
"2019","CAR-1-US-1372-4-963-IL-2019-6187-1 to 15435","15435","02/02/2021","CAR1372","Rochelle Municipal Landfill","Landfill Gas Capture/Combustion","Version 5.0","Rochelle","ILLINOIS","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","Retired On Behalf of TPG Global, LLC",
"2019","CAR-1-US-1372-4-963-IL-2019-6188-1 to 2200","2200","02/02/2021","CAR1372","Rochelle Municipal Landfill","Landfill Gas Capture/Combustion","Version 5.0","Rochelle","ILLINOIS","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","Retired On Behalf of TPG Global, LLC",
"2019","CAR-1-US-432-4-227-LA-2019-5897-1 to 679","679","04/13/2020","CAR432","St. Landry Parish Sanitary Landfill","Landfill Gas Capture/Combustion","Version 3.0","Washington","LOUISIANA","US","","No","Trinity Carbon Management LLC","On Behalf of Third Party","On Behalf of Third Party",
"2019","CAR-1-US-844-4-649-WA-2019-6203-1 to 9694","9694","12/22/2020","CAR844","Sudbury Road Landfill Gas Destruction Project","Landfill Gas Capture/Combustion","Version 3.0","Walla Walla","WASHINGTON","US","","No","The Climate Trust","Compliance Requirements","Retired on behalf of Invenergy GHEC facility",
"2019","CAR-1-US-817-4-622-LA-2019-6098-1 to 28407","28407","10/27/2020","CAR817","Tangipahoa GHG Project","Landfill Gas Capture/Combustion","Version 3.0","Independence, Tangipahoa Parish","LOUISIANA","US","","No","Tangipahoa Parish Government","On Behalf of Third Party","On behalf of Third Party",
"2019","CAR-1-US-768-30-530-MS-2019-5976-111656 to 114155","2500","04/09/2020","CAR768","Terra Yazoo City  # 9, Nitrous Oxide Abatement Project","Nitric Acid N2O- Secondary Catalyst","Version 1.0","Yazoo City, MS","MISSISSIPPI","US","","No","ClimeCo Corporation","On Behalf of Third Party","Allegheny College for FY20 emissions",
"2019","CAR-1-US-593-5-207-ID-2019-5868-18938 to 28937","10000","02/21/2020","CAR593","The B6 Dairy Farm BioFactory(R) Project","Livestock Gas Capture/Combustion","Version 4.0","Gooding, Idaho","IDAHO","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-593-5-207-ID-2019-5868-8938 to 18937","10000","01/29/2020","CAR593","The B6 Dairy Farm BioFactory(R) Project","Livestock Gas Capture/Combustion","Version 4.0","Gooding, Idaho","IDAHO","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-593-5-207-ID-2019-5868-1 to 8937","8937","02/21/2020","CAR593","The B6 Dairy Farm BioFactory(R) Project","Livestock Gas Capture/Combustion","Version 4.0","Gooding, Idaho","IDAHO","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-593-5-207-ID-2019-6303-1 to 21881","21881","02/24/2021","CAR593","The B6 Dairy Farm BioFactory(R) Project","Livestock Gas Capture/Combustion","Version 4.0","Gooding, Idaho","IDAHO","US","","No","The Climate Trust","Retail Program Requirements","Retired on behalf of NWN's Smart Energy program customers",
"2019","CAR-1-US-436-4-888-TN-2019-6073-1 to 55869","55869","10/30/2020","CAR436","Volunteer Regional Landfill","Landfill Gas Capture/Combustion","Version 5.0","Oneida","TENNESSEE","US","","No","Element Markets Emissions, LLC","On Behalf of Third Party","",
"2019","CAR-1-US-498-4-266-GA-2019-5931-30001 to 36285","6285","06/30/2020","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","",
"2019","CAR-1-US-498-4-266-GA-2019-5931-36286 to 37377","1092","06/30/2020","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","",
"2019","CAR-1-US-498-4-266-GA-2019-5931-72506 to 73105","600","06/30/2020","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","",
"2019","CAR-1-US-498-4-266-GA-2019-5931-37378 to 70000","32623","06/30/2020","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","",
"2019","CAR-1-US-498-4-266-GA-2019-5931-73106 to 76285","3180","06/30/2020","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","",
"2019","CAR-1-US-498-4-266-GA-2019-5931-76286 to 79451","3166","06/30/2020","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","",
"2019","CAR-1-US-498-4-266-GA-2019-5931-79452 to 80000","549","02/18/2021","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","Q4 CCN",
"2019","CAR-1-US-498-4-266-GA-2019-5931-70001 to 72505","2505","06/30/2020","CAR498","Wolf Creek Landfill","Landfill Gas Capture/Combustion","Version 3.0","Twiggs County, Dry Branch","GEORGIA","US","","No","United Parcel Service","Retirement for Person or Organization","",
